"Funding Program Name","Funding Type","Funding Amount/Range","Eligibility Criteria","Application Process","Application Deadline","Industry Focus","Funding Source","Geographical Restrictions","Website/Link to Apply","Contact Information","Required Documents","Duration of Funding/Support","Additional Benefits"
"GründungsBONUS (Berlin)","Grant","50% of project costs up to €50,000&#8203;:contentReference[oaicite:60]{index=60}","Innovative startups <12 months old at application, headquartered in Berlin; sectors: tech, digital, creative, sustainable&#8203;:contentReference[oaicite:61]{index=61}","Apply to IBB Business Team GmbH (online form); evaluation by jury; funding in tranches against proof of expenses","Several calls per year (usually 2–3 batches/year)","Tech, digital, creative, sustainable&#8203;:contentReference[oaicite:62]{index=62}","State (Investitionsbank Berlin)","Berlin only (must remain in Berlin 3 years after grant)&#8203;:contentReference[oaicite:63]{index=63}","https://www.ibb-business-team.de/produkt/gruendungsbonus/","IBB Business Team GmbH; Tel +49 30 2125-4747; gruendungsbonus@ibb-business-team.de","Business plan, financial plan, cost breakdown of planned expenses, pitch presentation","Up to 24 months (expenses in first 2 years are eligible)","IBB coaching optional; networking with other funded startups in Berlin; follow-on funding guidance"
"Pro FIT Frühphasenfinanzierung (Berlin)","Hybrid (50% grant, 50% loan)","Up to €500,000 total (mix of grant+loan)&#8203;:contentReference[oaicite:64]{index=64}&#8203;:contentReference[oaicite:65]{index=65}","Tech-oriented startups in Berlin, company age <2 years; developing innovative R&D project; must own IP of product","Apply to Investitionsbank Berlin (IBB); two-phase process (Phase 1: grant+loan, Phase 2: loan); need detailed project plan","No fixed deadline (apply anytime)","Technology R&D projects (any industry)","State (Berlin + EU EFRE funds)","Berlin (business must be Berlin-based)","https://www.ibb.de/profit/","IBB Business Customer Service; profit@ibb.de","Project proposal, R&D plan, financials, IP details","Phase 1: ~12 months; Phase 2 loan thereafter","Funds up to 100% of project cost (50% grant that need not be repaid); mentorship by IBB; follow-on Phase 2 loan if needed&#8203;:contentReference[oaicite:66]{index=66}"
"Pro FIT Projektfinanzierung (Berlin)","Hybrid (grant + loan)","Up to €1.4 million (€400k grant + €1m loan)&#8203;:contentReference[oaicite:67]{index=67}","Established SMEs and startups (no age limit) in Berlin doing R&D/innovation; includes research institutes as partners","Apply to IBB with detailed project and consortium if any; evaluation of innovation content","No deadline (open program)","Industrial research and experimental development projects","State (Berlin + EU funds)","Berlin","https://www.ibb.de/profit/","Investitionsbank Berlin, Innovation Funding Dept.","Project plan, consortium agreement (if multiple orgs), financials","Typically 2–3 year R&D project duration","Grant covers 80% of eligible costs&#8203;:contentReference[oaicite:68]{index=68} (20% own funds required); interest-free loan portion; projects can reach market launch readiness"
"Coaching BONUS (Berlin)","Grant (consulting)","Up to €4,000–€8,000 in consulting fees (co-finances 80% of coaching costs)","Berlin-based startups (<2 years) or pre-startup teams; seeking expert coaching (business, legal, marketing, etc.)","Apply to IBB Business Team; choose coach from approved list; submit coaching plan for approval","No deadline (ongoing)","All industries (advice areas vary)","State (Berlin)","Berlin","https://www.ibb-business-team.de/produkt/coaching-bonus/","IBB Business Team; coaching-bonus@ibb-business-team.de","Application form with coaching goals, coach’s proposal","Up to 8 days of coaching (within a few months)","Highly subsidized expert consulting; improves business plan and investor readiness; no equity or payback needed"
"Gründung Innovativ (Brandenburg)","Grant","€25,000 to €100,000&#8203;:contentReference[oaicite:69]{index=69} (covers up to 50% of costs, startup must fund other 50%&#8203;:contentReference[oaicite:70]{index=70})","Startups/SMEs <5 years in Brandenburg; innovative, technology-oriented project; must create new product/service or process","Apply via ILB (Brandenburg development bank) with project outline; evaluated by state bank and possibly external experts","Calls typically 1–2 times per year","Open to all sectors (focus on tech/innovation)","State (Brandenburg + EU EFRE)","Brandenburg (company seat or branch in BB)","https://www.ilb.de/gruendung-innovativ/","ILB Potsdam; Tel +49 331 660-3000; kundenservice@ilb.de","Project description, business plan, financial plan, innovation proof","Project costs for first 3 years of operations","Non-repayable subsidy for R&D, market entry costs; no equity taken; additional ILB coaching available"
"Business Plan Wettbewerb Berlin-Brandenburg (BPW)","Competition/Prize","Phase prizes €1k–€3k; final overall prizes ~€5k–€20k in-kind and cash","Teams or individuals in Berlin/Brandenburg planning a startup; all industries; must register idea in BPW timeframe (pre-company or early-stage)","Register for BPW, submit business concept in phases (idea sketch, business plan) by deadlines; best entries pitch at final event","Annual cycle (multiple submission deadlines from winter to spring)","All sectors (separate awards for technology, non-tech, etc.)","Private/State sponsors (e.g. Investitionsbanken, corporates)","Berlin-Brandenburg region","https://www.b-p-w.de/","BPW Office (Berlin); info@b-p-w.de","Business idea summary (Phase 1), full business plan (Phase 3)","N/A (competition events over ~5 months)","Comprehensive feedback on plans from experts; workshops and coaching during BPW; networking with investors; publicity for winners"
"BayTOU – Bavarian Technology Startups","Grant","Covers 35–45% of project costs; max grant €150,000 (software) up to higher for hardware&#8203;:contentReference[oaicite:71]{index=71}&#8203;:contentReference[oaicite:72]{index=72}","Tech-oriented startups in Bavaria ≤6 years old; <10 employees; innovative R&D project to develop product/service","Apply to Bavarian ministry (via online portal); requires detailed project description; juried approval","No fixed deadline (continuous program)","Technology-focused (ICT, engineering, etc.)","State (Bavaria)","Bavaria (must operate in Bavaria)","https://www.stmwi.bayern.de/baytou/","Bavarian Ministry of Economic Affairs – BayTOU Office","Project proposal, cost plan, company info","Project duration typically 1–2 years","Grant does not need repayment; company must cover remaining % of costs; supports faster time-to-market; raises profile for follow-on investors"
"FLÜGGE – Bayern","Grant (stipend)","Up to ~€2,500 per person/month (exact amount depends on qualification) for 6–12 months&#8203;:contentReference[oaicite:73]{index=73}","Academic teams in Bavaria spinning off from universities; innovative, technology or knowledge-based idea; founders with degree ≤5 years ago","Apply through participating Bavarian universities’ startup offices; proposals are reviewed by state committee; 1–2 calls/year","Annual or semi-annual calls (varies by university)","High-tech, knowledge-based startups","State (Bavaria)","Bavaria (must conduct project at Bavarian university)","https://www.bayern-innovativ.de/flugge","Bayern Innovativ / Univ. startup offices","Project plan, letters of support from professors, CVs","Up to 12 months stipend","Use of university labs and resources; coaching from university; essentially Bavaria’s version of EXIST for non-EXISTed teams"
"Start?Zuschuss! (Bavarian Digital Startups)","Grant","50% of eligible startup costs (personnel, materials, rent, marketing) up to €36,000 total&#8203;:contentReference[oaicite:74]{index=74}","Digital business startups in Bavarian regions (outside Munich); company <2 years; innovative, scalable idea","Apply to competition (juried) – only ~20 winners per call; must submit business plan and pitch to jury","Biannual competition calls (spring and fall)","Digital sector (online platforms, software, IT)","State (Bavaria, digitalization initiative)","Bavaria (focus on rural areas)","https://www.gruenderland.bayern/finanzierung-foerderung/startzuschuss/","Gruenderland Bayern (StMWi Bayern); Email startzuschuss@bayern.de","Business plan, pitch deck, financial projections","12 months (funding period for expenses)","In addition to grant, winners get publicity, workshops, and feedback from jury; part of ‘Gründerland Bayern’ support ecosystem"
"BayStartUP (Business Plan Competitions & Investor Network)","Competition/Network","Prize money varies: regional BPW up to ~€5k per phase&#8203;:contentReference[oaicite:75]{index=75} (total €85k across competitions); investment network: typical seed rounds €100k–€500k","Startups in Bavaria at idea or early stage (for competitions); any Bavarian startup seeking funding (for investor matchmaking)","Enter regional competitions (Ideenreich, Nordbayern, Münchener BPW) by submitting ideas/plans; or apply to BayStartUP investor network with pitch deck","Annual cycle for competitions; investor network – no deadline (rolling introductions)","All industries (competitions have categories), strong focus on tech in investor network","Private/Public (sponsored by Bavarian Ministry, sponsors)","Bavaria","https://www.baystartup.de/","BayStartUP GmbH Munich; info@baystartup.de","Exec summary or business plan (competition); pitch deck and one-pager (investor network)","N/A (events and ongoing network)","Extensive free coaching in competitions; for investor network: pitch events and one-on-one introductions; helps prepare for VC rounds"
"Start-up BW Pre-Seed (Baden-Württemberg)","Convertible Loan","€50,000–€200,000 funding (convertible loan, 80% state + 20% private co-investor)&#8203;:contentReference[oaicite:76]{index=76}&#8203;:contentReference[oaicite:77]{index=77}","Innovative startups in BW in pre-seed stage; need endorsement from accredited Pre-Seed partner (accelerator/incubator) and 20% co-investment from an angel or VC","Connect with a Start-up BW Pre-Seed partner in region; partner helps prepare application to state; committee approval of funding","No fixed deadline (partners accept applications year-round)","High-tech, scalable startups","State (BW Ministry of Economics) + co-investor","Baden-Württemberg","https://www.startupbw.de/finanzierung/pre-seed/","Start-up BW Pre-Seed Office (L-Bank); pre-seed@l-bank.de","Pitch deck, business concept, letter of intent from co-investor","Convertible loan up to 2 years (or until next financing round)","Mentoring from regional partner (accelerator) during project; follow-on investor connections; non-dilutive until conversion (state usually doesn’t convert if startup grows)"
"Junge Innovatoren (Young Innovators, BW)","Grant/Stipend","Salaries (50% of researcher salary up to E13 level) for up to 3 founders + €20k materials + €5k coaching&#8203;:contentReference[oaicite:78]{index=78}","Academic founders in Baden-Württemberg (graduates or scientists ≤5 years from graduation) with an innovative, research-based business idea; must involve a host university/research institution","Apply via host university to Ministry of Science BW; annual call; proposals evaluated on innovation and commercialization potential","Annual call (usually summer)","High-tech, science-based ventures","State (BW Ministry of Science, Research and Arts)","Baden-Württemberg","https://www.junge-innovatoren.de/","Ministry of Science BW – Startup funding unit","Project proposal, endorsement from host institute, budget, CVs","12 months (stipend salaries and support)","Use of university facilities; significant in-kind support from host (labs, offices); prestige of being a “Junge Innovatoren” team; preparation for EXIST or VC funding"
"L-Bank Startfinanzierung 80 (BW)","Loan + Guarantee","Up to €150,000 loan per startup (or per founder) with 80% state default guarantee&#8203;:contentReference[oaicite:79]{index=79}; low interest ~2%","Startups and small businesses in BW in first 3 years; financing needs up to €200k; must be viable business plan but little collateral","Apply through a local bank (“Hausbank”); bank forwards to L-Bank; L-Bank provides 80% guarantee to bank to encourage loan","No deadline","All industries","State (BW via L-Bank, with KfW partnership)","Baden-Württemberg","https://www.l-bank.de/startfinanzierung80/","L-Bank Förderberatung; Tel 0800 1503030","Business plan, budget, personal credit info","Loan term up to 10 years (incl. 2 years grace)","Facilitates bank lending by reducing risk; founders get access to capital without full collateral; can be combined with coaching programs"
"Invest BW Innovation Funding","Grant","Project grant up to €500k (small projects) or higher for consortia (in past calls up to €2M) – max 50% of project costs","Companies of all sizes in BW (including startups) with high-innovation R&D projects or commercialization projects; emphasis on future technologies","Calls for proposals released by Ministry of Economy BW; online submission of project proposal; competitive evaluation","Occasional calls (e.g. 2021–2022 had several rounds)","Key innovation fields (e.g. AI, quantum, medtech – focus areas defined per call)","State (Baden-Württemberg)","Baden-Württemberg","https://invest-bw.de/","Projektträger VDI/VDE-IT for Invest BW; invest-bw@vdivde-it.de","Detailed project application, project plan, budget, consortium details if any","Typically 12–24 months project duration","Non-dilutive funding for R&D; feedback from expert evaluators; encourages collaboration with research (bonus points if partnering with academia); no equity loss"
"Gründerstipendium.NRW","Grant (Stipend)","€1,000–1,200 per month per founder for 12 months&#8203;:contentReference[oaicite:80]{index=80} (max 3 founders)","Prospective founders or startups <1 year in North Rhine-Westphalia; innovative business idea; not already venture-capital funded","Apply to one of ~40 regional NRW startup networks; pitch idea to a jury for endorsement; endorsed applications are forwarded to Projekt Ruhr for approval","Rolling – multiple jury sessions across NRW hubs throughout year","All sectors (must show innovation and scalability)","State (NRW Ministry of Economics, co-funded by EU)","North Rhine-Westphalia","https://www.gruenderstipendium.nrw/","Projekt Ruhr GmbH (NRW); info@gruenderstipendium.nrw","Pitch deck, idea description, funding plan","12 months","Access to regional startup network’s coaching program; networking among stipend recipients (GründercampNRW events); no equity or payback"
"NRW.SeedCap (Matching Fund)","Equity/Loan Investment","€100k from NRW.BANK matching €100k from angel (total €200k); possible second round €100k match (total €400k)&#8203;:contentReference[oaicite:81]{index=81}","Startups in NRW in early stage; need an angel investor willing to invest €100k; focus on innovative companies with growth potential","Startup finds an angel and applies to NRW.BANK SeedCap; fairly quick approval if criteria met (angel due diligence already done)","No deadline (open program)","All innovative sectors (tech, industrial, consumer)","State (NRW.BANK co-investment)","North Rhine-Westphalia","https://www.nrwbank.de/seedcap/","NRW.BANK Venture Fund team; seedcap@nrwbank.de","Investor agreement, business plan, financials","N/A (investment, not time-limited)","Doubles the startup’s seed capital; angel provides mentorship; NRW.BANK is passive co-investor; startup benefits from NRW.BANK network and easier capital raise"
"NRW.Mikrodarlehen","Loan","€5,000 to €25,000 microloan; 6 years, ~3% interest","Existence founders and young businesses in NRW (incl. freelancers); need small capital and may lack collateral; business <5 years","Apply through NRW.BANK or local partners; simplified application form and plan; approval by NRW.BANK","No deadline","All sectors (for small business startup needs)","State (NRW.BANK)","North Rhine-Westphalia","https://www.nrwbank.de/mikrodarlehen/","NRW.BANK Kundenservice; info@nrwbank.de","Simplified business plan, use-of-funds plan","6-year term (incl 6–12 months no repayment)","No bank intermediary needed (direct loan); no collateral required; opportunity to build credit; can be stepping stone to bigger financing"
"IFB InnoFounder (Hamburg)","Grant (Stipend)","Up to €75,000 per startup (team of 3) – €2,500 per person/month (max 3 people, 18 months)&#8203;:contentReference[oaicite:82]{index=82}","Pre-seed startups in Hamburg (not yet founded or <1 year); innovative product/service in any sector (tech, media, etc.); must commit to base in Hamburg for grant period","Apply to IFB Innovationsstarter via online portal; submit pitch deck and project description; invited teams pitch to selection committee","Periodic calls (about 2–3 selections per year)","Media, tech, creative (priority to digital/content, but open to others)&#8203;:contentReference[oaicite:83]{index=83}","State (IFB Hamburg, co-funded by EFRE)","Hamburg","https://innovationsstarter.com/programs/innofounder/","IFB Innovationsstarter GmbH; info@innovationsstarter.com","Pitch deck, project description (template), team CVs","Up to 18 months (non-repayable stipend)&#8203;:contentReference[oaicite:84]{index=84}","Monthly founder stipend to cover living costs, allowing full-time focus; plus coaching from IFB, workshops, and networking in Hamburg startup scene&#8203;:contentReference[oaicite:85]{index=85}"
"IFB InnoRampUp (Hamburg)","Grant","Up to €150,000 grant (covers 90% of project expenses)&#8203;:contentReference[oaicite:86]{index=86}","Tech startups in Hamburg ≤2 years old; developing a novel product with clear market potential; must spend at least 10% of costs themselves","Apply to IFB Innovationsstarter (online form); need detailed project plan for product development/market launch; evaluated by committee","Several calls/year (approx quarterly)","Deep tech, innovative startups (focus on “DeepTech” in practice)","State (IFB Hamburg, EFRE co-funding)","Hamburg (startup ≤2 years, based in HH)","https://innovationsstarter.com/programs/innorampup/","IFB Innovationsstarter GmbH; info@innovationsstarter.com","Project plan, financial plan of expenses, pitch deck","Project duration typically 12 months (expenses reimbursed)","Non-dilutive funding for product development or pilot scaling; IFB reimburses incurred costs&#8203;:contentReference[oaicite:87]{index=87}; also access to IFB coaching and investor networks in Hamburg"
"Innovationsstarter Fonds Hamburg (InnoStarter)","Equity Investment","Typical investment €100k–€500k (seed round); up to ~€1M over multiple rounds","Early-stage startups in Hamburg (or willing to relocate); innovative technology or business model; co-investment with private lead investor required","Contact IFB Innovationsstarter fund managers with pitch; undergo due diligence; deal is co-invested alongside a lead VC/angel","No deadline (VC fund, invests year-round)","Tech, digital, life sciences (varied)","State (IFB Hamburg fund, public-private)","Primarily Hamburg (startup HQ in Hamburg)","https://www.ifbhh.de/innovationsstarter-fonds","IFB Innovationsstarter GmbH (Investment Team); info@innovationsstarter.com","Pitch deck, business plan, financials, IP info","N/A (equity investment)","IFB as a co-investor brings network and patience; no majority stake taken; can follow-on in later rounds; part of Hamburg’s startup ecosystem support"
"InnoVentures Fonds Hamburg","Equity Investment","€2–7 million per company (growth-stage fund)&#8203;:contentReference[oaicite:88]{index=88}","Later-stage startups/scale-ups in Hamburg that have completed seed stage; focus on life sciences, biotech, quantum, or other deep tech requiring larger capital","Connect via IFB or through referral after completing InnoRampUp/InnoStarter; formal VC due diligence and investment committee","No deadline (open fund)","Life sciences, biotech, deep tech (and others with high capital needs)&#8203;:contentReference[oaicite:89]{index=89}","State (IFB Hamburg large venture fund, launched 2023)","Hamburg","https://innovationsstarter.com/programs/innoventurefonds/","IFB Innovationsstarter – InnoVenture Fund team","Investor deck, financial model, product details","N/A (VC investment)","Large amounts of growth capital with co-investors; meant to fill Series A/B funding gap in region; leverages IFB network and government backing to attract private VCs"
"push! Startup Stipendium (Hessen)","Grant (Stipend)","Up to €40,000 total per startup (one-time grant)&#8203;:contentReference[oaicite:90]{index=90} – e.g. €2k/month for up to 12 months for team","Early-stage startups in Hesse; innovative idea; team must include or be supported by a Hessen university (often recent graduates)","Apply online via push.hessen.de during call; pitch deck and concept required; jury selects startups for funding","Periodic calls (e.g. once or twice per year)","All sectors (innovation and business potential required)","State (Hesse, HMWEVW, with ESF+ funds)","Hessen (must found/start in Hesse)","https://push.hessen.de/","StartHub Hessen (Hessen Agentur); push@hessen-agentur.de","Pitch deck, idea description, team profiles","12 months (grant usage period)","Non-dilutive grant gives runway to develop MVP&#8203;:contentReference[oaicite:91]{index=91}; includes coaching program (“Ideen Akzelerator”) with mentoring, workshops&#8203;:contentReference[oaicite:92]{index=92}; connects to Hessen startup network"
"Hessen Mikrodarlehen (Mikroliquidität)","Loan","€3,000 to €35,000 direct loan&#8203;:contentReference[oaicite:93]{index=93}; 7-year term; low interest ~2–3%; no collateral needed","Startups and small businesses in Hesse up to 5 years old; need small capital for launch or growth; have difficulty getting bank loans","Apply through WI Bank (Hessen); online form and interview; simpler process than bank loan","No deadline","All industries","State (WIBank Hessen)","Hessen","https://www.wibank.de/hessen-mikrodarlehen","WIBank Hessen; Tel +49 611 774-7333; kundenservice@wibank.de","Short business plan, financial needs statement, personal info","7-year loan (incl. 1 year no repayment)","No bank required (direct state loan); builds credit history; combined with coaching from regional partners if needed; relatively quick approval"
"Hessen Ideen Scholarship","Grant (Stipend)","€2,000/month per person (full-time) or €1,000 for part-time, for 6 months&#8203;:contentReference[oaicite:94]{index=94}","Graduate teams (max 3 people) from Hessen universities with innovative startup ideas; business not yet formed; degree ≤5 years ago","Apply via Hessen-Ideen.de; requires endorsement from applicant’s university; selection by state jury","Annual call (usually in autumn)","All sectors (often tech, social innovation from universities)","State (Hessen universities + state ministry)","Hessen","https://hessen-ideen.de/stipendium","Hessen Ideen Programm (Hessen Agentur Fulda)","Idea description, proof of degree, support letter from university incubator","6 months","Equity-free time to develop idea&#8203;:contentReference[oaicite:95]{index=95}; includes an “Ideen Akzelerator” program with mentoring and training&#8203;:contentReference[oaicite:96]{index=96}; networking among scholarship teams"
"InnoStartBonus (Sachsen)","Grant (Stipend)","€1,050 per month for 12 months (+€150/month per child)&#8203;:contentReference[oaicite:97]{index=97}","First-time founders in Saxony with innovative business idea; pre-company or very early-stage; must not have other main income (>20h job)","Apply to futureSAX during call (pitch deck + concept); shortlisted pitch to jury; ~10–15 startups per call get the stipend","Two calls per year (typically)","Open to all industries (innovation required)","State (Saxony, ESF funds)","Saxony","https://www.futuresax.de/innostartbonus","futureSAX GmbH (Saxon State Agency); innostartbonus@futuresax.de","Idea concept form, personal profiles, budget plan","12 months","Mentoring by futureSAX managers&#8203;:contentReference[oaicite:98]{index=98}; feedback from expert committee; networking with other founders; extension of €150/m for each child supports parent founders"
"MEP – Markteinführungsprogramm (Sachsen)","Grant","Startups <5 yrs: 75% of project costs up to €150,000; others: 50% up to €100,000&#8203;:contentReference[oaicite:99]{index=99}","Saxony-based SMEs launching an innovative product/service to market; emphasis on those <5 years old (get higher funding rate)","Apply to Sächsische Aufbaubank (SAB) with market launch project plan; documentation in German; SAB evaluates","Calls announced periodically (check SAB site)","Market launch of new products/processes (any industry)","State (Saxony, SAB)","Saxony","https://www.sab.sachsen.de (search 'MEP Zuschuss')","SAB Dresden; Tel +49 351 4910-4930","Project description (market entry strategy), budget, innovation proof","Project duration typically 1 year","Helps cover marketing, pilot deployment, certifications etc. for commercialization; non-repayable; encourages rapid scaling; especially generous (75%) for young startups&#8203;:contentReference[oaicite:100]{index=100}"
"Technologiegründerfonds Sachsen (TGFS)","Equity Investment","€200k–€600k initial equity; up to ~€3M total per company over multiple rounds","High-tech startups in Saxony (seed or early stage); scalable business in IT, medical, nano, etc.; strong team and tech; must locate in Saxony","Meet/pitch TGFS investment managers (submit deck via website or through referral); due diligence and negotiation for equity stake","No deadline (VC fund)","High-tech (ICT, medtech, machinery, etc.)","State/Regional VC (Saxony govt + banks)","Saxony (HQ or substantial operations in state)","http://www.tgfs.de/","TGFS (CFH Management GmbH); info@tgfs.de; Tel +49 371 237160","Pitch deck, business plan, financials, cap table","N/A (investment horizon ~5–8 years)","Funding plus active support: TGFS team offers connections to industry in Free State&#8203;:contentReference[oaicite:101]{index=101}; can coinvest with other VCs; local presence helps access Saxony research networks"
